Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2022-01-15T15:00+01:00,4005.83,37775.58,12305.42,213.98
2022-01-15T16:00+01:00,4004.76,37784.99,10414.66,226.32
2022-01-15T17:00+01:00,4013.91,38127.67,10174.32,260
2022-01-15T18:00+01:00,4013.24,38111.32,10437.83,267.03
2022-01-15T19:00+01:00,4012.7,37906.84,11366.35,261.41
2022-01-15T20:00+01:00,4011.54,37521.43,11864.06,243.62
2022-01-15T21:00+01:00,4014.57,36364.19,13083.93,220.1
2022-01-15T22:00+01:00,4011.7,35669.68,13752.65,212.85
2022-01-15T23:00+01:00,4015.75,33687.9,14013.61,209.41
2022-01-16T00:00+01:00,4024.4,30787.32,14434.48,225.92
2022-01-16T01:00+01:00,4103.16,29550.58,14815.09,216
2022-01-16T02:00+01:00,4104.14,29167.21,15647.27,189.49
2022-01-16T03:00+01:00,4104.9,28928.93,16396.13,181.98
2022-01-16T04:00+01:00,4102.81,28137.13,18432.84,174.98
2022-01-16T05:00+01:00,4103.63,28033.18,19409.48,165.91
2022-01-16T06:00+01:00,4099.17,27339.25,20442.07,118.71
2022-01-16T07:00+01:00,4099.82,27203.25,21469.95,119.45
2022-01-16T08:00+01:00,4099.83,27142.38,24299.19,125.86
2022-01-16T09:00+01:00,4104.26,27354.24,27682.32,129.46
2022-01-16T10:00+01:00,4100.06,27093.54,30520.32,125.99
2022-01-16T11:00+01:00,4095.02,27238.18,33529.62,131.83
2022-01-16T12:00+01:00,4094.3,26252.25,36551.97,123.01
2022-01-16T13:00+01:00,4092.67,25531.96,37606.33,122.49
2022-01-16T14:00+01:00,4092.39,25358.39,37335.97,102.67
2022-01-16T15:00+01:00,4088.93,25444.54,36407.69,121.95
2022-01-16T16:00+01:00,4083.05,25540.53,35053.55,115
2022-01-16T17:00+01:00,4084,25665.26,36223.04,125.42
2022-01-16T18:00+01:00,4085.33,25738.87,36688.44,112.4
2022-01-16T19:00+01:00,4086.36,25501.11,38024.69,97.49
2022-01-16T20:00+01:00,4086.77,24704.2,36668.2,90.14
2022-01-16T21:00+01:00,4083.83,23987.89,37176.94,97.09
2022-01-16T22:00+01:00,4080.01,23681.74,37456.19,93.85
2022-01-16T23:00+01:00,4082.68,22924,38144.17,87.2
2022-01-17T00:00+01:00,4036.02,20871.27,38704.79,78.08
2022-01-17T01:00+01:00,3942.24,19025.54,39547.6,34
2022-01-17T02:00+01:00,3948.45,17368.06,40344.01,12.33
2022-01-17T03:00+01:00,3950.61,16428.47,41174.14,10.09
2022-01-17T04:00+01:00,3951.34,17070.31,42154.06,12.83
2022-01-17T05:00+01:00,3945.41,19698.01,42285.02,36.16
2022-01-17T06:00+01:00,4068.08,24135.36,42530.57,92.03
2022-01-17T07:00+01:00,4073.22,26931.45,43341.49,102.8
2022-01-17T08:00+01:00,4072.03,28585.16,43334.69,126
2022-01-17T09:00+01:00,4077.86,29241.47,44331.41,100.9
2022-01-17T10:00+01:00,4076.21,29193.66,45904.83,112.03
2022-01-17T11:00+01:00,4071.6,29447.81,47799.7,111.25
2022-01-17T12:00+01:00,4063.93,29051.17,48135.63,100.58
2022-01-17T13:00+01:00,4068.41,28876.17,47365.13,111.65
2022-01-17T14:00+01:00,4063.85,29079.81,46041.69,127.38
2022-01-17T15:00+01:00,4065.73,30233.98,42510.55,168.85
2022-01-17T16:00+01:00,4059.54,32048.9,39646.96,199.85
2022-01-17T17:00+01:00,4056.27,34305.59,37839.76,249.99
